ID,Education,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Days_Since_Customer,Fam_Size,Num_Accepted
5376,Graduation,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,42,3088.775444892581,3,0
1993,PhD,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,0,72,3248.7754448925816,3,1
4047,PhD,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,67,2570.775444892581,3,0
1409,Graduation,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,70,3163.7754448925816,3,0
7892,Graduation,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,52,3208.7754448925816,1,0
2404,Graduation,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,45,3093.775444892581,4,0
5255,Graduation,52247.25135379061,19,5,1,3,3,263,362,0,27,0,0,1,0,0,35,3189.7754448925816,2,0
9422,Graduation,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,32,3089.775444892581,3,0
1966,PhD,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,56,2914.775444892581,2,1
6864,Master,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,32,2733.775444892581,1,0
3033,Master,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,58,2931.775444892581,2,0
5710,Graduation,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,0,51,3322.7754448925816,3,1
7373,PhD,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,1,69,3303.7754448925816,3,0
8755,Master,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,75,3189.7754448925816,2,0
10738,Master,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,0,70,2999.775444892581,3,0
4339,PhD,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,0,51,2875.775444892581,3,0
10755,2n Cycle,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,45,3200.7754448925816,3,0
8595,Graduation,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,48,2569.775444892581,2,0
2968,PhD,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,0,1,78,3238.7754448925816,1,1
8601,Graduation,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,41,3121.7754448925816,3,0
503,Master,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,36,2903.775444892581,3,0
8430,Graduation,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,64,3247.7754448925816,3,0
7281,PhD,52247.25135379061,80,81,11,50,3,2,39,1,1,3,4,2,0,0,62,3109.7754448925816,1,0
2139,Master,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,46,3199.7754448925816,3,0
1371,Graduation,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,45,2696.775444892581,1,0
9909,2n Cycle,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,1,25,3351.7754448925807,2,0
7286,Graduation,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,53,3096.775444892581,3,0
7244,Graduation,52247.25135379061,96,48,5,48,6,10,7,3,2,1,4,6,0,0,70,2874.775444892581,4,0
6566,PhD,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,0,67,3382.7754448925807,4,0
8614,Graduation,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,64,2536.775444892581,2,0
4114,Master,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,57,3293.7754448925816,2,0
1331,Graduation,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,44,3208.7754448925816,2,0
2225,Graduation,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,0,1,44,2688.775444892581,1,2
9381,Graduation,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,43,2900.775444892581,4,0
6260,Master,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,1,66,3282.7754448925816,2,1
10383,Graduation,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,1,55,3205.7754448925816,1,0
7437,Graduation,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,33,2757.775444892581,2,0
8557,Graduation,52247.25135379061,57,11,3,22,2,2,6,2,2,0,3,6,0,0,39,3072.775444892581,2,0
8375,PhD,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,0,53,2813.775444892581,3,0
6853,Master,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,39,3143.7754448925816,1,2
3076,Graduation,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,0,46,3415.7754448925807,4,0
1012,Graduation,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,0,69,3191.7754448925816,2,0
6518,PhD,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,70,2930.775444892581,2,0
4137,Graduation,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,73,3077.775444892581,2,0
8082,Graduation,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,1,50,3099.775444892581,3,0
1386,Graduation,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,54,2566.775444892581,4,0
9369,2n Cycle,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,0,1,42,2797.775444892581,2,2
4477,Graduation,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,63,2970.775444892581,3,0
1357,Graduation,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,0,51,3024.775444892581,5,0
1402,Master,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,67,3292.7754448925816,2,0
10629,2n Cycle,52247.25135379061,25,25,3,43,17,4,17,3,3,0,3,8,0,0,48,3348.7754448925807,3,0
6312,Graduation,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,0,62,3164.7754448925816,3,0
8132,PhD,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,0,46,3116.7754448925816,4,1
1050,Graduation,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,69,2755.775444892581,2,0
5846,Graduation,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,44,3252.7754448925816,2,0
1859,Master,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,1,49,3366.7754448925807,2,0
7503,Graduation,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,0,1,45,3261.7754448925816,1,1
10401,2n Cycle,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,1,0,45,3141.7754448925816,2,0
1618,Graduation,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,0,1,56,3208.7754448925816,2,1
3332,Graduation,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,36,3364.7754448925807,2,0
2261,Graduation,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,52,3066.775444892581,3,0
5346,2n Cycle,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,48,3174.7754448925816,3,0
4119,Master,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,58,2931.775444892581,2,0
535,Graduation,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,34,2819.775444892581,1,0
5268,Graduation,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,0,61,2928.775444892581,4,0
273,Master,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,0,51,3043.775444892581,4,1
4452,Graduation,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,64,2727.775444892581,2,2
8504,Graduation,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,48,2536.775444892581,2,1
771,Graduation,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,0,54,2854.775444892581,3,0
8996,PhD,52247.25135379061,4,230,42,192,49,37,53,12,7,2,8,9,0,0,64,3282.7754448925816,5,0
9235,Graduation,52247.25135379061,45,7,0,8,2,0,1,1,1,0,2,7,0,0,64,2728.775444892581,3,0
5798,Master,52247.25135379061,87,445,37,359,98,28,18,1,2,4,8,1,0,0,48,2913.775444892581,2,0
11178,Master,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,49,2793.775444892581,2,0
2230,PhD,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,51,2731.775444892581,3,0
7516,Graduation,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,38,2733.775444892581,3,0
7247,Graduation,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,0,61,3279.7754448925816,2,1
11100,Graduation,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,0,49,2932.775444892581,3,0
4646,2n Cycle,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,70,3228.7754448925816,2,1
3037,PhD,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,38,3069.775444892581,2,0
1473,2n Cycle,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,61,3036.775444892581,2,0
1016,PhD,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,0,62,2786.775444892581,2,0
4518,Graduation,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,0,42,3130.7754448925816,3,0
9370,PhD,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,76,3103.775444892581,2,0
8908,Graduation,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,1,62,2658.775444892581,2,0
8373,Basic,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,42,2955.775444892581,3,0
7533,Graduation,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,0,57,2973.775444892581,4,0
2683,Graduation,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,0,52,3207.7754448925816,4,0
3629,Graduation,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,43,3252.7754448925816,2,0
10991,Master,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,61,3412.7754448925807,2,0
5077,Graduation,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,0,42,3198.7754448925816,3,0
7431,PhD,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,30,3321.7754448925816,1,1
3267,Master,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,0,58,2699.775444892581,3,1
999,Graduation,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,30,3208.7754448925816,1,2
9215,PhD,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,41,3259.7754448925816,3,0
2286,Graduation,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,0,59,2958.775444892581,3,0
1592,Graduation,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,51,2851.775444892581,2,2
367,2n Cycle,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,43,3190.7754448925816,3,0
5234,2n Cycle,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,0,54,2929.775444892581,4,0
9862,Graduation,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,52,2922.775444892581,3,0
9805,Master,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,0,68,3069.775444892581,3,0
6205,Master,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,1,54,2820.775444892581,2,0
8442,Master,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,36,3141.7754448925816,4,0
7386,Graduation,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,45,3128.7754448925816,2,0
7215,Graduation,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,38,2903.775444892581,1,3
1491,2n Cycle,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,56,3191.7754448925816,2,0
11071,Graduation,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,1,37,3129.7754448925816,1,0
3381,Master,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,0,68,2657.775444892581,4,0
8268,PhD,52247.25135379061,23,352,0,27,10,0,15,3,6,1,7,6,0,0,60,2929.775444892581,3,0
11051,PhD,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,0,65,2597.775444892581,4,0
8026,Graduation,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,0,69,2967.775444892581,3,0
433,Master,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,0,63,2964.775444892581,3,0
9597,Graduation,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,52,2600.775444892581,2,0
1295,Graduation,52247.25135379061,96,231,65,196,38,71,124,1,6,5,7,4,0,0,58,2928.775444892581,3,0
5290,PhD,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,0,57,3014.775444892581,4,0
1685,PhD,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,0,54,3164.7754448925816,2,1
5342,Basic,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,45,3385.7754448925807,2,0
9579,PhD,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,0,62,3052.775444892581,5,0
7660,PhD,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,0,1,48,2736.775444892581,3,1
1461,PhD,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,0,56,3031.775444892581,3,0
821,Master,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,29,3313.7754448925816,1,0
11084,Master,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,1,45,2922.775444892581,3,0
8690,Graduation,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,59,3131.7754448925816,2,0
2937,PhD,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,0,47,3000.775444892581,2,0
9701,Graduation,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,33,3162.7754448925816,3,0
9949,Graduation,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,0,45,3314.7754448925816,4,0
10837,Graduation,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,1,46,3304.7754448925816,3,0
3120,Graduation,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,1,0,40,3000.775444892581,3,0
5885,2n Cycle,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,0,48,3371.7754448925807,5,0
4050,Master,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,55,2703.775444892581,2,0
3830,Master,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,0,68,2761.775444892581,4,0
7987,Graduation,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,0,52,2691.775444892581,3,1
7798,2n Cycle,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,0,49,3257.7754448925816,3,0
92,Graduation,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,33,2536.775444892581,2,0
7055,PhD,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,0,69,3352.7754448925807,3,0
10240,Graduation,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,72,3190.7754448925816,2,2
3025,Graduation,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,0,63,3021.775444892581,2,0
9283,Graduation,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,0,43,2897.775444892581,4,0
9970,Graduation,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,0,44,2950.775444892581,3,0
2730,Graduation,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,66,3008.775444892581,1,0
2795,Master,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,63,3233.7754448925816,4,0
9260,PhD,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,76,3474.7754448925807,2,0
8182,Graduation,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,37,2754.775444892581,3,0
10095,PhD,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,46,3235.7754448925816,1,0
8475,PhD,157243.0,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,48,2872.775444892581,3,0
4370,Graduation,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,0,55,2923.775444892581,5,0
10573,Graduation,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,0,0,68,2918.775444892581,1,1
3712,Graduation,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,0,62,3000.775444892581,1,1
6637,Graduation,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,33,3198.7754448925816,1,0
3152,Graduation,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,0,64,2819.775444892581,4,0
5610,Graduation,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,0,0,56,2764.775444892581,4,0
6460,Graduation,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,39,3046.775444892581,3,0
1349,Graduation,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,51,2764.775444892581,4,0
1880,PhD,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,0,62,2845.775444892581,4,0
641,Graduation,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,0,0,54,2781.775444892581,2,1
8717,PhD,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,46,3262.7754448925816,3,0
10314,PhD,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,73,3255.7754448925816,2,2
10854,PhD,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,0,0,51,2732.775444892581,4,0
10492,Graduation,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,0,0,62,2700.775444892581,5,0
6935,2n Cycle,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,70,3228.7754448925816,2,1
7698,PhD,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,0,0,45,2566.775444892581,3,0
3559,2n Cycle,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,33,2597.775444892581,3,0
10562,Master,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,75,2969.775444892581,2,0
10796,Master,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,37,2853.775444892581,3,0
2563,Basic,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,60,2709.775444892581,2,0
3518,Graduation,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,38,3473.7754448925807,3,0
5823,PhD,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,0,0,51,2660.775444892581,2,0
3934,Graduation,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,0,0,55,3201.7754448925816,3,0
6982,Graduation,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,45,3162.7754448925816,2,0
6431,PhD,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,0,0,57,3186.7754448925816,4,0
9733,Basic,24882.0,52,1,4,10,29,0,36,1,1,1,2,6,0,0,43,3353.7754448925807,3,1
5602,PhD,66973.0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,32,3103.775444892581,2,0
7829,2n Cycle,36640.0,99,15,6,8,7,4,25,1,2,1,2,5,1,0,121,2971.775444892581,2,0
1324,Graduation,38872.0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,33,3090.775444892581,3,0
326,Graduation,51148.0,38,235,6,45,8,9,12,4,5,1,6,6,0,0,48,3191.7754448925816,4,0
7224,Graduation,31353.0,24,10,0,10,3,1,7,2,1,1,2,8,0,0,44,2877.775444892581,4,0
6999,Master,69661.0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,41,2742.775444892581,2,0
9938,Graduation,80067.0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,67,2978.775444892581,2,1
6422,Graduation,86718.0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,67,3223.7754448925816,2,0
3182,PhD,46854.0,81,96,1,79,7,1,79,6,5,1,3,8,0,1,48,2785.775444892581,3,1
7300,Graduation,69142.0,50,448,4,34,6,4,39,3,8,1,7,5,0,0,69,2695.775444892581,2,1
10424,Graduation,75922.0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,53,2985.775444892581,1,0
8727,Graduation,63693.0,63,587,43,337,42,87,54,3,11,6,9,6,0,0,43,2953.775444892581,2,0
2798,PhD,102160.0,54,763,29,138,76,176,58,0,7,9,10,4,0,1,44,3564.7754448925807,2,3
1030,PhD,40637.0,72,22,0,13,0,0,3,2,1,0,3,7,0,0,56,3042.775444892581,3,0
624,Master,18890.0,5,6,4,1,7,2,15,1,0,1,2,6,0,1,37,3321.7754448925816,1,1
5176,Graduation,29604.0,88,7,6,13,7,6,14,1,1,0,3,9,0,0,33,3016.775444892581,3,1
5552,Master,48721.0,50,81,18,113,47,13,21,6,4,2,5,6,0,0,58,3107.7754448925816,3,0
868,Graduation,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,0,55,2657.775444892581,3,0
380,Graduation,64497.0,17,1170,48,320,42,32,192,5,11,4,9,8,0,1,67,3323.7754448925816,2,1
2677,Graduation,46097.0,11,72,24,68,65,4,8,5,3,1,6,4,0,0,65,3150.7754448925816,3,0
6521,Graduation,77972.0,18,613,22,319,33,102,12,1,4,6,9,1,0,0,67,2798.775444892581,2,0
6927,PhD,44377.0,70,224,0,30,0,0,10,8,5,1,5,8,0,0,53,3475.7754448925807,4,0
2877,Master,46014.0,21,410,0,59,19,9,44,10,7,1,8,7,0,0,47,3219.7754448925816,4,0
0,Graduation,70951.0,66,239,10,554,254,87,54,1,3,4,9,1,0,0,36,3145.7754448925816,2,0
1584,Graduation,41443.0,79,171,7,171,25,19,89,6,8,1,5,8,0,0,44,2871.775444892581,3,0
7264,2n Cycle,52195.0,2,12,0,4,0,0,1,1,1,0,2,8,0,0,43,2536.775444892581,4,0
6274,Master,83790.0,81,1076,16,417,42,48,16,1,8,10,6,3,0,0,73,2921.775444892581,2,2
1377,Master,44551.0,24,182,4,33,0,0,66,2,4,1,5,7,0,0,67,2997.775444892581,2,0
454,Graduation,69508.0,48,824,32,162,42,32,43,2,11,4,11,6,0,0,41,3287.7754448925816,3,0
1755,2n Cycle,45204.0,93,30,11,25,29,1,18,1,1,1,4,3,0,0,33,2567.775444892581,3,0
2075,Graduation,72460.0,56,377,10,540,80,30,10,1,3,5,7,1,0,0,52,2922.775444892581,2,0
4785,PhD,77622.0,3,520,7,154,19,0,14,2,6,3,11,3,0,0,51,2771.775444892581,4,0
9076,PhD,30732.0,44,155,1,25,0,1,3,4,4,1,4,8,0,0,41,3119.7754448925816,3,0
7079,Graduation,63887.0,38,897,23,207,15,11,92,5,9,6,12,6,0,0,59,3384.7754448925807,2,0
4653,Graduation,42011.0,46,131,0,16,2,1,39,4,3,1,4,8,0,0,43,3155.7754448925816,3,0
7375,Graduation,51369.0,84,297,7,79,0,11,182,2,8,2,4,8,0,0,45,3307.7754448925816,3,0
709,Graduation,51537.0,27,787,20,204,0,0,92,3,2,2,11,8,0,0,69,3350.7754448925807,2,0
460,PhD,79930.0,72,792,86,740,67,51,17,1,3,5,8,2,0,0,49,3385.7754448925807,2,0
3726,PhD,34320.0,66,4,1,9,3,0,0,1,1,0,2,8,0,0,35,2828.775444892581,3,0
6798,Graduation,37070.0,30,231,7,137,4,15,39,9,5,1,8,7,0,1,55,3161.7754448925816,3,0
5341,2n Cycle,81975.0,2,983,76,184,180,138,27,1,6,3,4,7,0,0,59,3119.7754448925816,2,1
1606,Graduation,38590.0,65,3,1,8,4,3,3,1,1,0,2,8,0,0,50,3105.775444892581,3,0
9617,Graduation,15033.0,37,0,4,5,6,0,4,1,1,0,3,3,0,0,70,2769.775444892581,1,0
3233,PhD,62745.0,89,562,21,464,28,10,32,3,7,8,11,5,0,0,56,3158.7754448925816,3,0
89,2n Cycle,22212.0,49,5,9,20,6,8,21,2,2,0,4,6,0,0,46,2985.775444892581,3,0
2936,Master,23661.0,46,18,0,4,0,0,1,1,1,0,3,7,0,0,39,3138.7754448925816,3,0
9449,PhD,79761.0,32,415,5,124,15,35,11,1,5,2,11,3,0,0,63,3140.7754448925816,2,0
7297,Graduation,7500.0,54,5,3,10,12,7,20,4,3,1,3,7,0,0,48,2880.775444892581,2,0
11004,2n Cycle,60182.0,23,8,0,5,7,0,2,1,1,0,2,4,0,0,128,2738.775444892581,2,0
313,Graduation,73455.0,98,901,61,757,186,163,20,1,6,5,10,3,0,0,53,2939.775444892581,1,1
9940,Graduation,64961.0,97,382,114,276,75,124,38,2,6,4,4,3,0,0,63,3248.7754448925816,3,0
10735,Graduation,22804.0,75,14,1,7,2,1,1,1,2,0,2,9,0,0,50,3028.775444892581,2,0
9529,Graduation,73687.0,8,559,153,503,218,13,181,1,3,9,9,2,0,1,31,2908.775444892581,2,1
6439,Graduation,61074.0,37,789,0,133,0,28,152,7,11,5,8,7,0,0,63,3376.7754448925807,3,0
7411,PhD,31686.0,31,11,0,5,0,0,1,2,1,0,3,6,0,0,57,2749.775444892581,4,0
2176,Graduation,80134.0,40,1218,16,272,104,0,80,2,5,3,6,6,0,1,49,3100.775444892581,3,3
9265,Graduation,75027.0,74,925,64,179,133,12,77,2,9,4,6,5,0,0,68,2996.775444892581,3,0
